year,total_cloud_cover
2010,0.5779805936073059
2011,0.587439497716895
2012,0.5871254553734062
2013,0.5716883561643835
2014,0.571066210045662
2015,0.5693150684931506
2016,0.6377732240437158
2017,0.5640239726027397
2018,0.5676723744292238
2019,0.5665627853881279
2020,0.6455601092896175
2021,0.6232303448275862
