year,temperature
2010,14.509204337899543
2011,14.475827625570776
2012,14.53790072859745
2013,14.93394406392694
2014,15.115320776255707
2015,14.678916666666666
2016,14.922311020036428
2017,14.884688356164384
2018,14.96981392694064
2019,14.864259132420091
2020,14.352813069216758
2021,16.20904827586207
