month,temperature
January,20.032249103942654
February,19.77510447394297
March,18.32661850358423
April,15.310387731481482
May,12.40453853046595
June,10.028854942557757
July,9.814540566959922
August,10.198365102639295
Sepetember,12.04517803030303
October,14.301953812316716
November,16.41370202020202
December,18.208958944281523
