year,mean_sea_level_pressure
2010,101609.82659246576
2011,101629.56731278538
2012,101581.29411429873
2013,101596.02671347032
2014,101635.55848744292
2015,101625.98360844748
2016,101478.16120446265
2017,101610.47976369863
2018,101633.06529908675
2019,101639.64273858447
2020,101668.89839936247
2021,101700.76267034483
