temperature,date
21.011194444444445,2018-01-30
20.88479166666667,2018-01-31
20.884944444444443,2018-02-01
20.959833333333332,2018-02-02
21.041513888888893,2018-02-03
20.936833333333333,2018-02-04
20.75576388888889,2018-02-05
20.923305555555554,2018-02-06
21.220555555555556,2018-02-07
21.405138888888885,2018-02-08
21.44575,2018-02-09
21.262305555555553,2018-02-10
21.195666666666668,2018-02-11
21.281819444444448,2018-02-12
21.483722222222223,2018-02-13
21.486583333333332,2018-02-14
21.456083333333332,2018-02-15
21.273347222222224,2018-02-16
20.90501388888889,2018-02-17
20.697236111111113,2018-02-18
20.553055555555556,2018-02-19
20.472333333333335,2018-02-20
20.57211111111111,2018-02-21
20.704138888888888,2018-02-22
20.954430555555554,2018-02-23
20.820875,2018-02-24
20.60916666666667,2018-02-25
20.379194444444447,2018-02-26
20.17061111111111,2018-02-27
20.140416666666667,2018-02-28
20.170069444444444,2018-03-01
20.299277777777778,2018-03-02
20.41090277777778,2018-03-03
20.32766666666667,2018-03-04
20.190375,2018-03-05
20.159916666666668,2018-03-06
20.17522222222222,2018-03-07
20.088180555555553,2018-03-08
19.889625000000002,2018-03-09
19.97209722222222,2018-03-10
19.84698611111111,2018-03-11
19.68272222222222,2018-03-12
19.66998611111111,2018-03-13
19.65047222222222,2018-03-14
19.42325,2018-03-15
19.55790277777778,2018-03-16
19.87327777777778,2018-03-17
19.895291666666665,2018-03-18
19.903555555555556,2018-03-19
19.754305555555554,2018-03-20
19.70422222222222,2018-03-21
19.681833333333334,2018-03-22
19.68947222222222,2018-03-23
19.61104166666667,2018-03-24
19.22416666666667,2018-03-25
19.041791666666665,2018-03-26
19.11998611111111,2018-03-27
19.113888888888887,2018-03-28
18.828055555555554,2018-03-29
18.69675,2018-03-30
18.64926388888889,2018-03-31
18.656472222222224,2018-04-01
18.509805555555555,2018-04-02
18.466305555555554,2018-04-03
18.442625000000003,2018-04-04
18.31101388888889,2018-04-05
18.094388888888886,2018-04-06
17.911875000000002,2018-04-07
17.919527777777777,2018-04-08
17.694305555555555,2018-04-09
17.845291666666665,2018-04-10
17.967944444444445,2018-04-11
17.987152777777776,2018-04-12
18.05609722222222,2018-04-13
17.961805555555554,2018-04-14
17.782305555555556,2018-04-15
17.35834722222222,2018-04-16
17.18397222222222,2018-04-17
17.038694444444445,2018-04-18
17.01197222222222,2018-04-19
16.90786111111111,2018-04-20
16.72561111111111,2018-04-21
16.448152777777775,2018-04-22
16.429513888888888,2018-04-23
16.52536111111111,2018-04-24
16.572777777777777,2018-04-25
16.38423611111111,2018-04-26
16.15701388888889,2018-04-27
16.078277777777778,2018-04-28
15.943777777777777,2018-04-29
15.795402777777777,2018-04-30
15.720847222222224,2018-05-01
15.78309722222222,2018-05-02
15.863124999999998,2018-05-03
15.786249999999999,2018-05-04
15.76098611111111,2018-05-05
15.765069444444444,2018-05-06
15.78311111111111,2018-05-07
15.459749999999998,2018-05-08
15.298097222222223,2018-05-09
14.855180555555556,2018-05-10
14.592902777777777,2018-05-11
14.454319444444446,2018-05-12
14.212597222222222,2018-05-13
14.173361111111111,2018-05-14
14.012944444444445,2018-05-15
13.902430555555554,2018-05-16
13.943791666666666,2018-05-17
13.855152777777779,2018-05-18
13.773458333333334,2018-05-19
13.761680555555555,2018-05-20
13.734708333333334,2018-05-21
13.689277777777779,2018-05-22
13.465666666666666,2018-05-23
13.259569444444445,2018-05-24
13.065277777777776,2018-05-25
13.03413888888889,2018-05-26
13.137555555555556,2018-05-27
13.212916666666667,2018-05-28
13.149430555555556,2018-05-29
13.146736111111112,2018-05-30
12.89859722222222,2018-05-31
12.580458333333333,2018-06-01
12.296527777777778,2018-06-02
12.172305555555557,2018-06-03
12.045305555555556,2018-06-04
11.87461111111111,2018-06-05
11.743500000000001,2018-06-06
11.849250000000001,2018-06-07
11.794708333333334,2018-06-08
11.793555555555555,2018-06-09
11.654944444444444,2018-06-10
11.630833333333333,2018-06-11
11.628777777777778,2018-06-12
11.5785,2018-06-13
11.584069444444445,2018-06-14
11.514875,2018-06-15
11.392444444444445,2018-06-16
11.352319444444444,2018-06-17
11.212722222222222,2018-06-18
11.006180555555554,2018-06-19
10.812416666666667,2018-06-20
10.65198611111111,2018-06-21
10.512416666666667,2018-06-22
10.420902777777778,2018-06-23
10.440499999999998,2018-06-24
10.32376388888889,2018-06-25
10.05076388888889,2018-06-26
9.733333333333333,2018-06-27
9.638527777777778,2018-06-28
9.598166666666666,2018-06-29
9.569166666666668,2018-06-30
9.505055555555554,2018-07-01
9.502263888888889,2018-07-02
9.57898611111111,2018-07-03
9.684458333333334,2018-07-04
9.862972222222224,2018-07-05
9.828208333333333,2018-07-06
9.670819444444444,2018-07-07
9.635305555555556,2018-07-08
9.66152777777778,2018-07-09
9.643694444444444,2018-07-10
9.46775,2018-07-11
9.345777777777778,2018-07-12
9.265708333333333,2018-07-13
9.175638888888889,2018-07-14
9.190486111111111,2018-07-15
9.21448611111111,2018-07-16
9.189736111111111,2018-07-17
9.293166666666668,2018-07-18
9.358,2018-07-19
9.365125,2018-07-20
9.380680555555557,2018-07-21
9.399111111111113,2018-07-22
9.426208333333333,2018-07-23
9.461500000000001,2018-07-24
9.488888888888887,2018-07-25
9.576958333333332,2018-07-26
9.757152777777778,2018-07-27
9.935819444444443,2018-07-28
9.913791666666667,2018-07-29
9.981527777777778,2018-07-30
10.131833333333335,2018-07-31
10.114013888888888,2018-08-01
10.124055555555556,2018-08-02
10.033,2018-08-03
9.944083333333333,2018-08-04
10.009736111111113,2018-08-05
