trend,date,seasonal,observed
14.259536059575048,2010-01-01,4.967670511305071,17.699166666666667
14.259497793416068,2010-01-02,4.083552668542415,15.915416666666667
14.259459527257091,2010-01-03,4.350975255764538,15.225833333333334
14.259421261098112,2010-01-04,4.6276793308101,18.771666666666665
14.259382994939134,2010-01-05,4.695473303115936,17.940833333333334
14.259344728780155,2010-01-06,4.711570643001682,16.437916666666666
14.259306462621177,2010-01-07,5.028016632050289,18.324166666666667
14.259268196462198,2010-01-08,6.3238627352541465,26.71666666666667
14.25922993030322,2010-01-09,5.091137967072921,22.077083333333334
14.259191664144241,2010-01-10,4.419676517004327,23.79375
14.259153397985264,2010-01-11,6.450948324165567,33.62
14.259115131826285,2010-01-12,5.270227836806259,20.50583333333333
14.259076865667307,2010-01-13,5.87987559526126,16.368333333333332
14.259038599508328,2010-01-14,5.610845842300733,17.179583333333333
14.259000333349348,2010-01-15,5.1113840117146365,20.427916666666665
14.258962067190371,2010-01-16,6.123401823442086,19.390416666666667
14.258923801031392,2010-01-17,5.68845007656984,13.982916666666666
14.258885534872414,2010-01-18,5.7035221120415835,14.116666666666667
14.258847268713435,2010-01-19,4.52384823807649,16.245833333333334
14.258809002554457,2010-01-20,5.285716982071825,19.412916666666668
14.258770736395478,2010-01-21,5.977361981774922,22.599999999999998
14.2587324702365,2010-01-22,5.32275412759674,24.562916666666666
14.258694204077521,2010-01-23,5.022655215579898,15.295416666666668
14.258655937918544,2010-01-24,5.665372418479341,16.492083333333333
14.258617671759565,2010-01-25,5.142571641926728,17.286666666666665
14.258579405600587,2010-01-26,4.336349442238654,18.732916666666664
14.258541139441608,2010-01-27,6.073374293539925,16.58625
14.25850287328263,2010-01-28,6.01525378715474,20.1825
14.258464607123651,2010-01-29,5.680422569201824,16.652083333333334
14.258426340964672,2010-01-30,5.859589638920144,26.486666666666665
14.258388074805694,2010-01-31,6.206205719292952,22.67625
14.258349808646715,2010-02-01,5.297672636804267,20.6525
14.258311542487737,2010-02-02,4.995395071819389,25.88875
14.258273276328758,2010-02-03,5.378347624794936,27.372500000000002
14.25823501016978,2010-02-04,5.295258986750698,21.41875
14.258196744010801,2010-02-05,3.220537928615132,16.730416666666667
14.258158477851824,2010-02-06,4.469557357541975,19.329166666666666
14.258120211692844,2010-02-07,7.046972049025894,23.076666666666668
14.258081945533867,2010-02-08,6.34095399697861,24.493750000000002
14.258043679374888,2010-02-09,7.119482463196165,24.7475
14.25800541321591,2010-02-10,6.581970879946446,24.90041666666667
14.257967147056931,2010-02-11,4.375289585890031,21.63875
14.257928880897952,2010-02-12,4.648508976765119,18.32
14.257890614738974,2010-02-13,5.251813698690438,19.763749999999998
14.257852348579995,2010-02-14,5.520432062168271,21.023333333333333
14.257814082421017,2010-02-15,5.921396316057058,19.233333333333334
14.257775816262038,2010-02-16,5.114304443614039,19.551666666666666
14.25773755010306,2010-02-17,4.133098320790498,19.172083333333333
14.257699283944081,2010-02-18,4.7218533851815705,19.743750000000002
14.257661017785104,2010-02-19,6.360130709846612,25.276666666666667
14.257622751626124,2010-02-20,3.84353351015854,27.979166666666668
14.257584485467147,2010-02-21,3.1126656673958837,20.91875
14.257546219308168,2010-02-22,4.701042212000046,18.566666666666666
14.25750795314919,2010-02-23,4.530491435447433,16.039583333333333
14.257469686990211,2010-02-24,5.657057572897866,16.651666666666667
14.257431420831233,2010-02-25,6.330997663925164,19.575
14.257393154672254,2010-02-26,6.236625445211215,26.168333333333333
14.257354888513275,2010-02-27,3.6881240408047216,17.455000000000002
14.257316622354297,2010-02-28,2.495694839594576,15.159583333333332
14.257278356195318,2010-03-01,3.7457514641074154,15.814166666666667
14.25724009003634,2010-03-02,3.927228179944453,16.725833333333334
14.257201823877361,2010-03-03,4.877176166709956,19.519166666666667
14.257163557718384,2010-03-04,5.334353225012748,24.31833333333333
14.257125291559404,2010-03-05,5.1067818053855545,21.651666666666667
14.257087025400427,2010-03-06,4.001158825636597,19.54375
14.257048759241448,2010-03-07,4.078004643452328,19.459166666666665
14.25701049308247,2010-03-08,3.9403584521356376,18.007916666666667
14.25697222692349,2010-03-09,4.30667506523295,15.220833333333333
14.256933960764513,2010-03-10,5.8464226144033224,14.637083333333335
14.256895694605534,2010-03-11,4.490935764791352,15.41125
14.256857428446555,2010-03-12,5.100343321572073,17.40625
14.256819162287577,2010-03-13,4.051424108946402,18.42625
14.256780896128598,2010-03-14,3.6176082068230158,19.507083333333334
14.25674262996962,2010-03-15,5.395297822203433,22.072916666666668
14.256704363810641,2010-03-16,3.585426269395114,23.8075
14.256666097651664,2010-03-17,2.8818186054756865,22.684583333333336
14.256627831492684,2010-03-18,3.828707802286848,24.68041666666667
14.256589565333707,2010-03-19,4.616000537910799,20.378333333333334
14.256551299174728,2010-03-20,4.153986195909175,18.919166666666666
14.25651303301575,2010-03-21,5.171016754973002,16.658333333333335
14.25647476685677,2010-03-22,3.1184494259089752,15.346666666666666
14.256436500697793,2010-03-23,3.2017716516394708,17.63
14.256398234538814,2010-03-24,2.552218782240588,16.575
14.256359968379837,2010-03-25,3.244610357286151,22.403333333333332
14.256321702220857,2010-03-26,2.905094302955762,19.238333333333333
14.256283436061878,2010-03-27,2.376423853648205,18.45625
14.2562451699029,2010-03-28,2.513818472833797,21.030416666666667
14.256206903743921,2010-03-29,1.579269218351202,16.59
14.256168637584944,2010-03-30,2.250665740124314,15.213333333333333
14.256130371425964,2010-03-31,2.452864583054199,16.564166666666665
14.256092105266987,2010-04-01,1.428803152011482,17.1725
