month,mean_sea_level_pressure,Month
1,101270.63531137993,January
2,101461.28653392331,February
3,101671.81644041218,March
4,101889.70789351853,April
5,101905.22097782258,May
6,101705.53110718343,June
7,101691.64522482893,July
8,101636.77186705767,August
9,101676.67839141414,Sepetember
10,101684.13189516128,October
11,101458.41818308081,November
12,101288.72666300098,December
