month,wind_speed,Month
1,3.866076388888889,January
2,3.6641396263520156,February
3,3.613475582437276,March
4,3.504565972222222,April
5,4.048919130824372,May
6,3.660491099608635,June
7,4.377994868035191,July
8,4.4015957966764425,August
9,4.195756313131313,Sepetember
10,4.033543499511241,October
11,3.8024015151515154,November
12,3.7855791788856306,December
