month,total_cloud_cover,Month
1,0.5105040322580645,January
2,0.5197320550639135,February
3,0.5483658154121864,March
4,0.6061631944444444,April
5,0.6210797491039427,May
6,0.6278841055422295,June
7,0.6261485826001955,July
8,0.6165664711632453,August
9,0.6044128787878787,Sepetember
10,0.5920112414467253,October
11,0.6241363636363636,November
12,0.560791788856305,December
